_id	mes	equipamento	faixa	data	hora	minutos_intervalo	qtd_0a10km	qtd_11a20km	qtd_21a30km	qtd_31a40km	qtd_41a50km	qtd_51a60km	qtd_61a70km	qtd_71a80km	qtd_81a90km	qtd_91a100km	qtd_acimade100km
225	8	FC004REC	1	2025-08-03T00:00:00	8	46-59	0	6	8	13	5	1	0	0	0	0	0
226	8	FC004REC	1	2025-08-03T00:00:00	9	0-15	1	6	4	5	0	0	0	0	0	0	0
227	8	FC004REC	1	2025-08-03T00:00:00	9	16-30	2	7	5	16	8	0	0	0	0	0	0
228	8	FC004REC	1	2025-08-03T00:00:00	9	31-45	1	9	17	18	2	0	0	0	0	0	0
229	8	FC004REC	1	2025-08-03T00:00:00	9	46-59	1	8	5	16	8	0	0	0	0	0	0
230	8	FC004REC	1	2025-08-03T00:00:00	10	0-15	1	10	18	14	7	0	0	0	0	0	0
231	8	FC004REC	1	2025-08-03T00:00:00	10	16-30	2	5	7	25	6	0	0	0	0	0	0
232	8	FC004REC	1	2025-08-03T00:00:00	10	31-45	2	12	14	35	5	1	0	0	0	0	0
233	8	FC004REC	1	2025-08-03T00:00:00	10	46-59	0	12	24	30	6	0	1	0	0	0	0
234	8	FC004REC	1	2025-08-03T00:00:00	11	0-15	0	11	24	39	12	1	0	0	0	0	0
235	8	FC004REC	1	2025-08-03T00:00:00	11	16-30	2	9	16	34	10	0	0	0	0	0	0
236	8	FC004REC	1	2025-08-03T00:00:00	11	31-45	0	20	42	22	7	1	0	0	0	0	0
237	8	FC004REC	1	2025-08-03T00:00:00	11	46-59	0	11	17	31	9	0	0	0	0	0	0
238	8	FC004REC	1	2025-08-03T00:00:00	12	0-15	1	16	43	32	2	2	0	0	0	0	0
239	8	FC004REC	1	2025-08-03T00:00:00	12	16-30	1	15	36	39	9	1	0	0	0	0	0
240	8	FC004REC	1	2025-08-03T00:00:00	12	31-45	3	19	28	33	9	1	0	0	0	0	0
241	8	FC004REC	1	2025-08-03T00:00:00	12	46-59	2	10	23	46	12	1	0	0	0	0	0
242	8	FC004REC	1	2025-08-03T00:00:00	13	0-15	2	15	36	48	11	2	0	0	0	0	0
243	8	FC004REC	1	2025-08-03T00:00:00	13	16-30	1	13	37	24	6	2	0	0	0	0	0
244	8	FC004REC	1	2025-08-03T00:00:00	13	31-45	2	14	45	33	7	2	0	0	0	0	0
245	8	FC004REC	1	2025-08-03T00:00:00	13	46-59	2	9	32	30	8	1	0	0	0	0	0
246	8	FC004REC	1	2025-08-03T00:00:00	14	0-15	1	13	21	36	15	2	0	0	0	0	0
